1 25 49
11242609 13082689 14922769
2845969 13140625 23435281
3690241 13140625 22591009
8958049 13227769 17497489
323761 13315201 26306641
7349521 13315201 19280881
1216609 13344409 25472209
7879249 13344409 18809569
961 13432225 26863489
2193361 13432225 24671089
6848689 13490929 20133169
2666689 13520329 24373969
5870929 13667809 21464689
261121 13697401 27133681
1615441 13756681 25897921
4661281 13845841 23030401
638401 13875625 27112849
12061729 13875625 15689521
66049 13935289 27804529
1787569 13965169 26142769
10349089 13965169 17581249
1117249 14115049 27112849
8720209 14115049 19509889
83521 14145121 28206721
3500641 14205361 24910081
7187761 14326225 21464689
13667809 14326225 14984641
3301489 14386849 25472209
11135569 14417209 17698849
237169 14478025 28718881
1067089 14478025 27888961
703921 14508481 28313041
9928801 14508481 19088161
5764801 14600041 23435281
2582449 14691889 26801329
7656289 14784025 21911761
13830961 14784025 15737089
11992369 14845609 17698849
380689 14938225 29495761
4464769 14938225 25411681
6599761 14969161 23338561
10233601 14969161 19704721
1940449 15031129 28121809
519841 15062161 29604481
1615441 15124321 28633201
27889 15155449 30283009
8567329 15155449 21743569
3301489 15342889 27384289
152881 15405625 30658369
7006609 15405625 23804641
4669921 15437041 26204161
919681 15689521 30459361
14984641 15689521 16394401
160801 15721225 31281649
3806401 15721225 27636049
5564881 15721225 25877569
13608721 15721225 17833729
12271009 15784729 19298449
13786369 15784729 17783089
908209 15816529 30724849
2289169 15816529 29343889
10975969 15880225 20784481
11895601 15880225 19864849
25921 15912121 31798321
9728161 16008001 22287841
4255969 16104169 27952369
8532241 16168441 23804641
528529 16265089 32001649
8392609 16265089 24137569
1442401 16362025 31281649
7392961 16362025 25331089
2307361 16394401 30481441
5329 16459249 32913169
3094081 16556761 30019441
6806881 16556761 26306641
6315169 16589329 26863489
247009 16752649 33258289
1682209 16785409 31888609
15737089 16785409 17833729
5303809 16851025 28398241
13712209 16851025 19989841
776161 16982641 33189121
11771761 16982641 22193521
96721 17048641 34000561
2093809 17081689 32069569
4363921 17147881 29931841
16394401 17147881 17901361
9928801 17181025 24433249
14922769 17181025 19439281
13490929 17247409 21003889
69169 17280649 34492129
8196769 17447329 26697889
3500641 17480761 31460881
10764961 17480761 24196561
9480241 17648401 25816561
305809 17682025 35058241
1270129 17682025 34093921
6589489 17783089 28976689
2719201 17850625 32982049
2879809 17850625 32821441
15689521 17884441 20079361
13608721 17986081 22363441
7091569 18088009 29084449
11621281 18156121 24690961
368449 18190225 36012001
5121169 18190225 31259281
2024929 18258529 34492129
638401 18361225 36084049
5997601 18361225 30724849
9740641 18395521 27050401
47089 18464209 36881329
3806401 18671041 33535681
4977361 18671041 32364721
1423249 18705625 35988001
17901361 18705625 19509889
14799409 18809569 22819729
13315201 18913801 24512401
17833729 18983449 20133169
1100401 19088161 37075921
6355441 19088161 31820881
214369 19123129 38031889
919681 19193161 37466641
13476241 19193161 24910081
2660161 19228225 35796289
10504081 19228225 27952369
16129 19333609 38651089
3179089 19404025 35628961
11444689 19404025 27363361
9186961 19439281 29691601
4879681 19545241 34210801
519841 19722481 38925121
508369 19829209 39150049
2411809 19829209 37246609
1697809 19864849 38031889
14161 19971961 39929761
6754801 19971961 33189121
3568321 20079361 36590401
17783089 20187049 22591009
229441 20295025 40360609
1739761 20295025 38850289
5650129 20295025 34939921
15499969 20295025 25090081
19509889 20367169 21224449
17833729 20403289 22972849
6105841 20475625 34845409
13315201 20475625 27636049
935089 20584369 40233649
14615329 20584369 26553409
2436721 20693401 38950081
11242609 20729809 30217009
13082689 20729809 28376929
1168561 20802721 40436881
54289 20912329 41770369
11607649 20912329 30217009
3690241 21058921 38427601
9296401 21058921 32821441
10195249 21132409 32069569
703921 21353641 42003361
388129 21390625 42393121
20133169 21390625 22648081
7491169 21464689 35438209
17698849 21464689 25230529
2845969 21501769 40157569
289 21576025 43151761
3323329 21576025 39828721
15358561 21613201 27867841
7579009 21687649 35796289
13126129 21836929 30547729
351649 21949225 43546801
5841889 21949225 38056561
11015761 22137025 33258289
21224449 22137025 23049601
776161 22174681 43573201
19439281 22174681 24910081
2211169 22250089 42289009
17698849 22250089 26801329
73441 22287841 44502241
16008001 22363441 28718881
5276209 22401289 39526369
1456849 22515025 43573201
4363921 22515025 40666129
9042049 22515025 35988001
14371681 22515025 30658369
12794929 22705225 32615521
20079361 22705225 25331089
4255969 22819729 41383489
17581249 22819729 28058209
11282881 22934521 34586161
7219969 22972849 38725729
279841 23049601 45819361
3073009 23164969 43256929
9840769 23203489 36566209
7921 23280625 46553329
12909649 23280625 33651601
5564881 23512801 41460721
8473921 23512801 38551681
10764961 23629321 36493681
2505889 23785129 45064369
625681 23863225 47100769
7187761 23863225 40538689
1985281 23902321 45819361
22648081 24019801 25391521
23049601 24019801 24990001
19989841 24098281 28206721
19298449 24137569 28976689
5987809 24255625 42523441
17497489 24255625 31013761
1787569 24334489 46881409
208849 24373969 48539089
6932689 24571849 42211009
4879681 24690961 44502241
1117249 24730729 48344209
185761 24810361 49434961
12666481 24810361 36954241
2819041 24850225 46881409
12453841 24850225 37246609
1181569 24930049 48678529
39601 25090081 50140561
3869089 25170289 46471489
5276209 25170289 45064369
10491121 25210441 39929761
9443329 25452025 41460721
22591009 25452025 28313041
693889 25573249 50452609
19864849 25573249 31281649
485809 25654225 50822641
1760929 25654225 49547521
2961841 25694761 48427681
8473921 25694761 42915601
17247409 25775929 34304449
8059921 25816561 43573201
24990001 26020201 27050401
14753281 26061025 37368769
22972849 26061025 29149201
21003889 26142769 31281649
2163841 26265625 50367409
19088161 26265625 33443089
12397441 26429881 40462321
17230801 26429881 35628961
935089 26553409 52171729
2563201 26635921 50708641
15437041 26635921 37834801
108241 26677225 53246209
5564881 26677225 47789569
1481089 26884225 52287361
10195249 26884225 43573201
13712209 26884225 40056241
25391521 26884225 28376929
4977361 26925721 48874081
97969 27008809 53919649
19704721 27133681 34562641
4464769 27175369 49885969
12061729 27175369 42289009
17032129 27384289 37736449
8162449 27426169 46689889
1540081 27510025 53479969
10491121 27510025 44528929
358801 27552001 54745201
919681 27552001 54184321
3530641 27678121 51825601
